   n, x, y, z
  942, -16, 5, 17
  943, -25, 14, 24
  944, 6, 6, 8
  945, 0, 6, 9
  946, 1, 6, 9
  947, -5, 7, 9
  949, , , 
  950, , , 
  951, -25, -10, 26
  952, -12, -4, 14
  953, 2, 6, 9
  954, -41, 30, 35
  955, -1189, -524, 1222
  956, -9, -8, 13
  957, -827, -602, 922
  958, , , 
  959, , , 
  960, -4, 8, 8
  961, -7, -3, 11
  962, -13, -6, 15
  963, -4, 3, 10
  965, -3, -2, 10
  966, -2501, -965, 2548
  967, , , 
  968, , , 
  970, -43, -22, 45
  971, -55687, 7423, 55643
  972, 3, 6, 9
  973, -3, 0, 10
  974, -3, 1, 10
  976, , , 
  977, , , 
  978, -40303, 8666, 40169
  979, 5, 5, 9
  980, 5, 7, 8
  981, -3, 2, 10
  982, -7511, -2904, 7653
  983, -17, 4, 18
  984, -2, -2, 10
  985, , , 
  986, , , 
  987, -7, -1, 11
  988, -7, 0, 11
  989, -7, 1, 11
  990, -6, -5, 11
  991, -2, -1, 10
  992, -2, 0, 10
  993, -2, 1, 10
  994, , , 
  995, , , 
  996, -7, 2, 11
  997, -3, 8, 8
  998, -1, -1, 10
  999, -1, 0, 10
 1000, 0, 0, 10
