# List of solutions for: n = x³ + y³ + z³  with n=[0..10000] and negative z
1737 = 54³ + 22³ - 55³
3256 = 54³ + 23³ - 55³
6714 = 54³ + 25³ - 55³
8665 = 54³ + 26³ - 55³
1531 = 54³ + 27³ - 56³
3800 = 54³ + 28³ - 56³
6237 = 54³ + 29³ - 56³
8848 = 54³ + 30³ - 56³
2062 = 54³ + 31³ - 57³
8208 = 54³ + 33³ - 57³
1656 = 54³ + 34³ - 58³
5227 = 54³ + 35³ - 58³
9008 = 54³ + 36³ - 58³
2738 = 54³ + 37³ - 59³
6957 = 54³ + 38³ - 59³
783 = 54³ + 39³ - 60³
5464 = 54³ + 40³ - 60³
4571 = 54³ + 42³ - 61³
9990 = 54³ + 43³ - 61³
4753 = 54³ + 46³ - 63³
5912 = 54³ + 48³ - 64³
488 = 54³ + 49³ - 65³
7839 = 54³ + 50³ - 65³
2619 = 54³ + 51³ - 66³
5578 = 54³ + 53³ - 67³
1407 = 55³ + 22³ - 56³
2926 = 55³ + 23³ - 56³
4583 = 55³ + 24³ - 56³
8335 = 55³ + 26³ - 56³
865 = 55³ + 27³ - 57³
3134 = 55³ + 28³ - 57³
5571 = 55³ + 29³ - 57³
8182 = 55³ + 30³ - 57³
1054 = 55³ + 31³ - 58³
4031 = 55³ + 32³ - 58³
7200 = 55³ + 33³ - 58³
300 = 55³ + 34³ - 59³
3871 = 55³ + 35³ - 59³
7652 = 55³ + 36³ - 59³
1028 = 55³ + 37³ - 60³
5247 = 55³ + 38³ - 60³
9694 = 55³ + 39³ - 60³
3394 = 55³ + 40³ - 61³
8315 = 55³ + 41³ - 61³
2135 = 55³ + 42³ - 62³
7554 = 55³ + 43³ - 62³
1512 = 55³ + 44³ - 63³
7453 = 55³ + 45³ - 63³
1567 = 55³ + 46³ - 64³
8054 = 55³ + 47³ - 64³
2342 = 55³ + 48³ - 65³
9399 = 55³ + 49³ - 65³
6220 = 55³ + 52³ - 67³
820 = 55³ + 53³ - 68³
9407 = 55³ + 54³ - 68³
1071 = 56³ + 22³ - 57³
2590 = 56³ + 23³ - 57³
4247 = 56³ + 24³ - 57³
6048 = 56³ + 25³ - 57³
7999 = 56³ + 26³ - 57³
187 = 56³ + 27³ - 58³
2456 = 56³ + 28³ - 58³
4893 = 56³ + 29³ - 58³
7504 = 56³ + 30³ - 58³
28 = 56³ + 31³ - 59³
3005 = 56³ + 32³ - 59³
6174 = 56³ + 33³ - 59³
9541 = 56³ + 34³ - 59³
2491 = 56³ + 35³ - 60³
6272 = 56³ + 36³ - 60³
3507 = 56³ + 38³ - 61³
7954 = 56³ + 39³ - 61³
1288 = 56³ + 40³ - 62³
6209 = 56³ + 41³ - 62³
5076 = 56³ + 43³ - 63³
4597 = 56³ + 45³ - 64³
4814 = 56³ + 47³ - 65³
5769 = 56³ + 49³ - 66³
1792 = 56³ + 52³ - 68³
2248 = 57³ + 23³ - 58³
3905 = 57³ + 24³ - 58³
5706 = 57³ + 25³ - 58³
7657 = 57³ + 26³ - 58³
9764 = 57³ + 27³ - 58³
1766 = 57³ + 28³ - 59³
4203 = 57³ + 29³ - 59³
6814 = 57³ + 30³ - 59³
1961 = 57³ + 32³ - 60³
8497 = 57³ + 34³ - 60³
1087 = 57³ + 35³ - 61³
4868 = 57³ + 36³ - 61³
8865 = 57³ + 37³ - 61³
4067 = 57³ + 41³ - 63³
9234 = 57³ + 42³ - 63³
2556 = 57³ + 43³ - 64³
8233 = 57³ + 44³ - 64³
1693 = 57³ + 45³ - 65³
7904 = 57³ + 46³ - 65³
1520 = 57³ + 47³ - 66³
8289 = 57³ + 48³ - 66³
2079 = 57³ + 49³ - 67³
9430 = 57³ + 50³ - 67³
3412 = 57³ + 51³ - 68³
5561 = 57³ + 53³ - 69³
2898 = 57³ + 56³ - 71³
381 = 58³ + 22³ - 59³
1900 = 58³ + 23³ - 59³
3557 = 58³ + 24³ - 59³
5358 = 58³ + 25³ - 59³
7309 = 58³ + 26³ - 59³
9416 = 58³ + 27³ - 59³
1064 = 58³ + 28³ - 60³
3501 = 58³ + 29³ - 60³
6112 = 58³ + 30³ - 60³
899 = 58³ + 32³ - 61³
4068 = 58³ + 33³ - 61³
7435 = 58³ + 34³ - 61³
3440 = 58³ + 36³ - 62³
7437 = 58³ + 37³ - 62³
4384 = 58³ + 39³ - 63³
9065 = 58³ + 40³ - 63³
1889 = 58³ + 41³ - 64³
7056 = 58³ + 42³ - 64³
5671 = 58³ + 44³ - 65³
4952 = 58³ + 46³ - 66³
7211 = 58³ + 52³ - 69³
989 = 58³ + 53³ - 70³
3576 = 58³ + 55³ - 71³
7057 = 58³ + 57³ - 72³
1546 = 59³ + 23³ - 60³
3203 = 59³ + 24³ - 60³
5004 = 59³ + 25³ - 60³
6955 = 59³ + 26³ - 60³
9062 = 59³ + 27³ - 60³
350 = 59³ + 28³ - 61³
2787 = 59³ + 29³ - 61³
6355 = 59³ + 34³ - 62³
9926 = 59³ + 35³ - 62³
1988 = 59³ + 36³ - 63³
5985 = 59³ + 37³ - 63³
2554 = 59³ + 39³ - 64³
7235 = 59³ + 40³ - 64³
4842 = 59³ + 42³ - 65³
3067 = 59³ + 44³ - 66³
1952 = 59³ + 46³ - 67³
8439 = 59³ + 47³ - 67³
1870 = 59³ + 50³ - 69³
9521 = 59³ + 51³ - 69³
2987 = 59³ + 52³ - 70³
4932 = 59³ + 54³ - 71³
7747 = 59³ + 56³ - 72³
1555 = 59³ + 57³ - 73³
1186 = 60³ + 23³ - 61³
2843 = 60³ + 24³ - 61³
4644 = 60³ + 25³ - 61³
6595 = 60³ + 26³ - 61³
8702 = 60³ + 27³ - 61³
4672 = 60³ + 30³ - 62³
7463 = 60³ + 31³ - 62³
1890 = 60³ + 33³ - 63³
5257 = 60³ + 34³ - 63³
8828 = 60³ + 35³ - 63³
4509 = 60³ + 37³ - 64³
694 = 60³ + 39³ - 65³
5375 = 60³ + 40³ - 65³
2592 = 60³ + 42³ - 66³
8011 = 60³ + 43³ - 66³
6362 = 60³ + 45³ - 67³
5391 = 60³ + 47³ - 68³
5140 = 60³ + 49³ - 69³
5651 = 60³ + 51³ - 70³
6966 = 60³ + 53³ - 71³
2599 = 60³ + 56³ - 73³
5888 = 60³ + 58³ - 74³
2477 = 61³ + 24³ - 62³
4278 = 61³ + 25³ - 62³
6229 = 61³ + 26³ - 62³
8336 = 61³ + 27³ - 62³
1323 = 61³ + 29³ - 63³
3934 = 61³ + 30³ - 63³
6725 = 61³ + 31³ - 63³
9702 = 61³ + 32³ - 63³
774 = 61³ + 33³ - 64³
4141 = 61³ + 34³ - 64³
7712 = 61³ + 35³ - 64³
3009 = 61³ + 37³ - 65³
7228 = 61³ + 38³ - 65³
3485 = 61³ + 40³ - 66³
8406 = 61³ + 41³ - 66³
306 = 61³ + 42³ - 67³
5725 = 61³ + 43³ - 67³
3674 = 61³ + 45³ - 68³
9885 = 61³ + 46³ - 68³
1630 = 61³ + 49³ - 70³
8981 = 61³ + 50³ - 70³
1721 = 61³ + 51³ - 71³
9678 = 61³ + 52³ - 71³
2610 = 61³ + 53³ - 72³
4339 = 61³ + 55³ - 73³
218 = 61³ + 58³ - 75³
4005 = 61³ + 60³ - 76³
448 = 62³ + 23³ - 63³
2105 = 62³ + 24³ - 63³
3906 = 62³ + 25³ - 63³
7964 = 62³ + 27³ - 63³
573 = 62³ + 29³ - 64³
3184 = 62³ + 30³ - 64³
5975 = 62³ + 31³ - 64³
8952 = 62³ + 32³ - 64³
3007 = 62³ + 34³ - 65³
6578 = 62³ + 35³ - 65³
1485 = 62³ + 37³ - 66³
5704 = 62³ + 38³ - 66³
1565 = 62³ + 40³ - 67³
6486 = 62³ + 41³ - 67³
3403 = 62³ + 43³ - 68³
9080 = 62³ + 44³ - 68³
944 = 62³ + 45³ - 69³
7155 = 62³ + 46³ - 69³
5920 = 62³ + 48³ - 70³
5417 = 62³ + 50³ - 71³
5688 = 62³ + 52³ - 72³
6775 = 62³ + 54³ - 73³
8720 = 62³ + 56³ - 74³
1646 = 62³ + 57³ - 75³
4731 = 62³ + 59³ - 76³
70 = 63³ + 23³ - 64³
1727 = 63³ + 24³ - 64³
3528 = 63³ + 25³ - 64³
5479 = 63³ + 26³ - 64³
7586 = 63³ + 27³ - 64³
9855 = 63³ + 28³ - 64³
2422 = 63³ + 30³ - 65³
5213 = 63³ + 31³ - 65³
8190 = 63³ + 32³ - 65³
1855 = 63³ + 34³ - 66³
5426 = 63³ + 35³ - 66³
9207 = 63³ + 36³ - 66³
4156 = 63³ + 38³ - 67³
8603 = 63³ + 39³ - 67³
4536 = 63³ + 41³ - 68³
9703 = 63³ + 42³ - 68³
1045 = 63³ + 43³ - 69³
2728 = 63³ + 48³ - 71³
9785 = 63³ + 49³ - 71³
1799 = 63³ + 50³ - 72³
9450 = 63³ + 51³ - 72³
1638 = 63³ + 52³ - 73³
9907 = 63³ + 53³ - 73³
2287 = 63³ + 54³ - 74³
3788 = 63³ + 56³ - 75³
6183 = 63³ + 58³ - 76³
9514 = 63³ + 60³ - 77³
2476 = 63³ + 61³ - 78³
1343 = 64³ + 24³ - 65³
3144 = 64³ + 25³ - 65³
5095 = 64³ + 26³ - 65³
7202 = 64³ + 27³ - 65³
9471 = 64³ + 28³ - 65³
1648 = 64³ + 30³ - 66³
4439 = 64³ + 31³ - 66³
7416 = 64³ + 32³ - 66³
685 = 64³ + 34³ - 67³
2584 = 64³ + 38³ - 68³
7031 = 64³ + 39³ - 68³
7723 = 64³ + 42³ - 69³
4328 = 64³ + 44³ - 70³
1569 = 64³ + 46³ - 71³
6545 = 64³ + 49³ - 72³
5778 = 64³ + 51³ - 73³
5797 = 64³ + 53³ - 74³
6644 = 64³ + 55³ - 75³
